iter	Passed	Remaining
893	1797	213
894	1798	211
895	1800	208
896	1801	206
897	1802	204
898	1804	202
899	1806	200
900	1808	198
901	1809	196
902	1811	194
903	1812	192
904	1814	190
905	1816	188
906	1818	186
907	1819	184
908	1821	182
909	1822	180
910	1824	178
911	1825	176
912	1827	174
913	1828	172
914	1830	170
915	1831	167
916	1833	165
917	1834	163
918	1836	161
919	1837	159
920	1838	157
921	1840	155
922	1841	153
923	1842	151
924	1844	149
925	1845	147
926	1847	145
927	1849	143
928	1850	141
929	1852	139
930	1853	137
931	1854	135
932	1856	133
933	1857	131
934	1860	129
935	1861	127
936	1863	125
937	1865	123
938	1866	121
939	1868	119
940	1869	117
941	1871	115
942	1872	113
943	1874	111
944	1875	109
945	1876	107
946	1878	105
947	1880	103
948	1882	101
949	1883	99
950	1885	97
951	1887	95
952	1888	93
953	1889	91
954	1891	89
955	1893	87
956	1896	85
957	1899	83
958	1902	81
959	1904	79
960	1908	77
961	1911	75
962	1916	73
963	1919	71
964	1921	69
965	1924	67
966	1926	65
967	1927	63
968	1929	61
969	1934	59
970	1939	57
971	1941	55
972	1943	53
973	1944	51
974	1945	49
975	1947	47
976	1951	45
977	1953	43
978	1954	41
979	1956	39
980	1957	37
981	1959	35
982	1960	33
983	1962	31
984	1969	29
985	1971	27
986	1973	25
987	1975	23
988	1976	21
989	1977	19
990	1979	17
991	1982	15
992	1987	14
993	1988	12
994	1990	10
995	1992	8
996	1993	5
997	1994	3
998	1998	2
999	1999	0
